curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600600, 105.95059644165039, 200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ002756, 91.5199966430664, 200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH688065, 61.96619889945984, 400, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH603369, 50.50505, 500, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ002475, 29.07000160217285, 700, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ300347, 104.62046161041259, 200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600000, 7.320732171678543, 3100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600406, 24.650001525878906, 900, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ000786, 26.422642076301575, 900, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600029, 7.700769809246063, 3000, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601225, 18.331834831237792, 1200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600941, 72.39724601974487, 300, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600115, 5.429999828338623, 4200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601398, 4.359999656677246, 5200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ000895, 25.670000076293945, 900, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601169, 4.320000171661377, 5200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600383, 10.701069809246063, 2300, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600741, 16.801679236984253, 1300, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ000568, 221.96219644165038, 100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH600104, 14.41144084739685, 1600, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ300661, 166.63664185638427, 100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH605499, 172.38999938964844, 100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH688363, 128.5928598312378, 200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ300498, 19.041904915618897, 1200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SH601919, 10.231022542190551, 2200, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ002714, 47.304733052062986, 500, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 11:00:00, SZ002050, 20.442044534111023, 1100, 创建时间 2023-01-04 10:55:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601021, 63.406337710952755, 400, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601888, 214.86001586914062, 100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601966, 20.092007245063783, 1100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH600009, 56.295626100540154, 400, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH603899, 54.380001068115234, 400, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SZ000858, 178.68788042907715, 100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SZ002415, 33.77000045776367, 600, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SZ002304, 158.81586779174805, 100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH600436, 281.92818389587404, 100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH600132, 124.8324816947937, 200, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601816, 4.850484904623031, 4600, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601100, 62.256225, 400, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH600763, 148.17480440216065, 100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SZ000596, 264.3964321166992, 100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601111, 10.731073495960235, 2100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH600809, 277.2077106750488, 100, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH603833, 124.00000762939453, 200, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601628, 37.52375245780945, 600, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SZ002032, 50.005, 500, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH600887, 30.673067076301574, 700, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SZ000069, 5.599999904632568, 4200, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH603288, 77.26772813644409, 300, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH601689, 57.70577076301575, 400, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH600600, 106.61066610412598, 200, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SZ002756, 91.45999908447266, 200, 创建时间 2023-01-04 11:25:00
2023-01-04, 买单执行,2023-01-04 13:00:00, SH688065, 61.95619194793701, 300, 创建时间 2023-01-04 11:25:00
